name,ra,dec,time,fluence
4B 921112-,76.94,-88.95,48938.53204,
GRB 000203,329.06,-88.4,51577.436,5.39E-08
GRB 970930-,270.24,-88,50721.92986,7.78E-07
4B 951019,161.51,-87.81,50009.55839,0.00000027
GRB 971124,255.2,-87.1,50776.01638,1.09E-07
4B 920502-,131.99,-84.96,48744.79518,4.60E-06
GRB 970930-,281.45,-84.51,50721.00069,6.00E-06
GRB 961019,321.87,-84.18,50375.88069,0.000001065
GRB 990411-,329.84,-83.44,51279.1844,5.97E-06
4B 931017,181.44,-83.11,49277.05404,
4B 920517-,36.94,-82.84,48759.02405,
4B 920120,300.31,-82.75,48641.93796,0.000000194
4B 920509,341.22,-82.43,48751.4717,0.000000774
4B 941023-,212.28,-82.35,49648.19065,4.19E-06
4B 950522-,88.52,-81.91,49859.27658,
4B 920116-,152.79,-81.32,48637.77124,3.59E-06
4B 910905,0,-81.05,48504.99231,0.000008365
GRB 961230,37.52,-80.62,50447.5894,2.50E-08
GRB 980923,76.95,-80.6,51079.84083,0.000120201
4B 930614-,33.65,-80.54,49152.91035,1.56E-08
4B 941217,130.17,-80.37,49703.16772,2.85E-07
GRB 981015-,287.82,-80.32,51101.20303,
GRB 961009-,130.2,-80.23,50365.56788,0.000010526
GRB 990510-,207.51,-80.22,51308.36743,5.15E-06
4B 950611-,220.34,-79.56,49879.23738,1.44E-06
4B 930124,287.29,-79.45,49011.76179,4.73E-08
4B 930606-,252.64,-79.26,49144.30473,0.000001543
GRB 000108-,236.35,-78.82,51551.70008,5.06E-07
4B 960508-,258.32,-77.62,50211.79173,3.10E-07
4B 960722-,52.04,-77.15,50286.17259,5.18E-07
GRB 970821,226.07,-76.99,50681.61808,3.66E-08
4B 950123,235.41,-76.8,49740.32088,1.54E-07
4B 960509,306.44,-76.78,50212.50955,2.96E-06
4B 920902-,52.58,-76.65,48867.76561,
GRB 971113,216.57,-76.63,50765.67281,0.000012815
GRB 990323-,332.58,-76.54,51260.7289,7.70E-05
4B 940521-,325.44,-76.44,49493.91833,1.03E-07
GRB 970530,323.33,-75.8,50598.1945,1.71E-06
GRB 991210-,293.01,-75.69,51522.62511,2.00E-06
4B 960205-,71.68,-75.67,50118.29865,0.000000036
GRB 980208-,60.97,-75.49,50852.53542,1.40E-05
4B 910730-,249.54,-75.22,48467.17938,7.91E-07
