name,ra,dec,time,fluence
GRB140518709,244.04,-77.86,56795.70884,3.81E-07
GRB130623488,20.723,-77.784,56466.48804,2.46E-06
GRB141004150,30.44,-77.3,56934.15033,4.10E-06
GRB101024486,66.5064,-77.2648,55493.48581,3.33E-06
GRB110716018,329.68,-76.98,55758.01759,1.35E-06
GRB110819665,139.49,-76.64,55792.66522,3.04E-06
GRB090810659,168.93,-76.4,55053.65912,9.89E-06
GRB160406570,208.48,-76.37,57484.56978,4.66E-06
GRB090120627,38.1,-72.2,54851.62665,7.68E-07
GRB141022061,241.901,-72.129,56952.06098,5.60E-07
GRB120827216,222.74,-71.89,56166.21557,3.37E-06
GRB100517639,52.73,-71.87,55333.63887,2.91E-06
GRB090802666,267.02,-71.77,55045.66555,2.77E-06
GRB110618366,176.808,-71.688,55730.36639,0.000062375
GRB090516137,122.2,-71.62,54967.13704,0.000016841
GRB130320560,195.539,-71.259,56371.56012,0.000081151
GRB100604287,248.3,-73.19,55351.28721,5.51E-06
GRB140213807,105.218,-73.136,56701.80662,0.000021248
GRB090922605,38.36,-73.08,55096.60465,4.51E-06
GRB090513941,99.1,-72.9,54964.94138,1.04E-06
GRB130425327,17.78,-72.85,56407.32727,0.000041678
GRB160325291,15.6521,-72.6967,57472.29122,0.000018598
GRB091102607,72.6161,-72.5197,55137.60739,1.88E-06
GRB100926595,222.75,-72.35,55465.59518,6.97E-06
GRB130127299,301.21,-57.21,56319.29853,1.02E-06
GRB110319815,325.57,-57.11,55639.8153,2.49E-06
GRB110801335,248.27,-57.06,55774.33453,3.54E-07
GRB080916406,336.3,-57,54725.40647,7.81E-06
GRB150702998,52.78,-57,57205.99767,0.000011741
GRB131028096,333.4,-56.94,56593.09573,1.46E-06
GRB111009282,183.04,-56.82,55843.28171,0.000012033
GRB150824079,167.55,-56.767,57258.07884,0.000019695
GRB140710901,204.646,-58.5913,56848.90113,1.40E-06
GRB150306993,0.63,-58.55,57087.99282,0.000027014
GRB120210650,54.65,-58.52,55967.64981,6.45E-07
GRB110207959,179,-58.43,55599.95864,3.42E-07
GRB111015427,220.65,-58.41,55849.42723,0.000024199
GRB161020767,32.56,-58.23,57681.76718,5.00E-06
GRB160422499,41.26,-58.22,57500.49931,0.000088021
GRB090117640,164,-58.2,54848.64029,2.53E-06
GRB150514774,74.85,-60.91,57156.77437,4.74E-06
GRB091231206,199.36,-60.7,55196.20594,9.76E-06
GRB161106786,284.53,-60.65,57698.78589,1.23E-06
GRB161110179,254.91,-60.62,57702.17907,1.59E-07
GRB160424492,319.485,-60.6148,57502.49244,2.73E-06
GRB081121858,89.3,-60.6,54791.85796,0.000015272
GRB120511638,226.93,-60.49,56058.63805,0.0000114
GRB130730243,133.75,-60.36,56503.24328,2.12E-06
