name,ra,dec
3FGL J0542.2-8737,85.5603,-87.6185
3FGL J2108.6-8619,317.1631,-86.3176
3FGL J1026.4-8542,156.605,-85.7152
3FGL J2337.2-8425,354.3135,-84.4224
3FGL J0046.7-8419,11.6875,-84.32
3FGL J2202.4-8339,330.6101,-83.656
3FGL J2237.5-8326,339.3911,-83.4372
3FGL J0533.6-8323,83.4106,-83.3847
3FGL J1036.0-8317,159.0219,-83.288
3FGL J1224.6-8312,186.1653,-83.2093
3FGL J2121.5-8253,320.3808,-82.8931
3FGL J2258.1-8248,344.5413,-82.8056
3FGL J0737.8-8245,114.4615,-82.761
3FGL J1504.5-8242,226.1417,-82.7095
3FGL J2005.7-8241,301.438,-82.699
3FGL J0244.4-8224,41.1126,-82.4137
3FGL J0018.9-8152,4.7454,-81.8769
3FGL J1259.3-8151,194.8353,-81.8606
3FGL J0742.4-8133c,115.6206,-81.5587
3FGL J1716.7-8112,259.1903,-81.2152
3FGL J1949.7-8109,297.4376,-81.1644
3FGL J1628.7-8056,247.176,-80.9341
3FGL J1912.9-8008,288.2343,-80.1495
3FGL J1058.5-8003,164.6306,-80.0512
3FGL J1537.8-8000,234.4701,-80.0088
3FGL J2334.4-7948,353.6077,-79.8041
3FGL J0224.1-7941,36.0476,-79.6916
3FGL J1935.2-7924c,293.8026,-79.4077
3FGL J1421.8-7920,215.4664,-79.3476
3FGL J0302.5-7915,45.6452,-79.2544
3FGL J2100.6-7844,315.158,-78.7465
3FGL J1422.8-7828,215.7192,-78.479
3FGL J1925.8-7826,291.4505,-78.4377
3FGL J1801.5-7825,270.3881,-78.4243
3FGL J2230.5-7817,337.6408,-78.2979
3FGL J1208.2-7810c,182.0743,-78.1684
3FGL J1130.7-7800,172.6819,-78.01
3FGL J1104.3-7736c,166.0794,-77.611
3FGL J2007.7-7728,301.9487,-77.4748
3FGL J1617.7-7717,244.4465,-77.2986
3FGL J1723.7-7713,260.943,-77.2314
3FGL J0734.3-7709,113.5769,-77.1609
3FGL J0953.1-7657c,148.2933,-76.9629
