name,time,ra,dec,redshift,fluence
GRB 670702,39673.59685,,,,
GRB 670702,39673.59685,,,,
GRB 690719,40421.15745,,,,
GRB 691008,40502.68799,,,,
GRB 700125,40611.20938,,,,
GRB 700710,40777.22067,,,,
GRB 700710,40777.22067,,,,
GRB 701001,40860.65428,,,,
GRB 710227,41009.72749,,,,
GRB 710227,41009.72748,,,,
GRB 720312,41388.66197,,,,0.00005
GRB 720427,41434.45731,,,,
GRB 720427,41434.45731,,,,
GRB 721113,41634.6685,,,,
GRB 730125,41707.63553,,,,
GRB 730416,41788.52723,,,,
GRB 730606A,41839.29685,,,,
GRB 730606B,41839.43818,,,,
GRB 730606C,41839.78274,,,,
GRB 730918,41943.21565,,,,
GRB 730926,41951.67006,,,,
GRB 731217,42033.33968,,,,
GRB 731223,42039.02763,,,,
GRB 740121,42068.75397,,,,
GRB 740402,42139.76425,,,,
GRB 740723,42251.54962,,,,
GRB 740724,42252.13662,,,,
GRB 740823,42282.60815,,,,
GRB 740929,42319.78591,,,,
GRB 741214,42395.42678,,,,
GRB 751102,42718.50368,,,,
GRB 751202,42748.99998,,,,
GRB 760612,42941.7942,,,,
GRB 760816,43006.67745,,,,
GRB 760903,43024.01682,,,,
GRB 761123,43105.79714,,,,
GRB 761204,43116.92422,,,,
GRB 770107,43150.9205,,,,
GRB 770131,43174.43706,,,,
GRB 770410,43243.56073,,,,
GRB 770501,43264.8861,,,,
GRB 780521,43649.91234,,,,
GRB 780914A,43765.48803,,,,
GRB 780914B,43765.69709,,,,0.000059
GRB 780914B,43765.69514,,,,0.000059
GRB 780916,43767.41806,,,,0.0000046
GRB 780918,43769.82598,,,,0.000029
GRB 780918,43769.82554,,,,0.000029
GRB 780918,43769.825,,,,0.000029
GRB 780921A,43772.16386,,,,0.000035
GRB 780921A,43772.16462,,,,0.000035
GRB 780921A,43772.16319,,,,0.000035
GRB 780921B,43772.84861,,,,0.000001
GRB 780922,43773.52361,,,,0.0000021
GRB 780930,43781.28194,,,,0.000018
GRB 781004,43785.03194,,,,0.0000006
GRB 781005,43786.03461,,,,0.0000063
GRB 781005,43786.03472,,,,0.0000063
GRB 781006A,43787.45825,,,,0.000026
GRB 781006A,43787.45825,,,,0.000026
GRB 781006A,43787.45825,,,,0.000026
GRB 781006A,43787.45764,,,,0.000026
GRB 781006B,43787.6009,,,,0.000017
GRB 781006B,43787.6,,,,0.000017
GRB 781011,43792.45208,,,,0.0000013
GRB 781012A,43793.04583,,,,0.0000093
GRB 781012C,43793.71793,,,,0.000004
GRB 781012C,43793.71793,,,,0.000004
GRB 781012C,43793.71793,,,,0.000004
GRB 781012C,43793.71667,,,,0.000004
GRB 781013,43794.62125,,,,0.0000011
GRB 781013,43794.62126,,,,0.0000011
GRB 781013,43794.62083,,,,0.0000011
GRB 781019,43800.76818,,,,0.000053
GRB 781019,43800.76803,,,,0.000053
GRB 781022,43803.975,,,,0.000002
GRB 781023,43804.72476,,,,0.0000067
GRB 781023,43804.72475,,,,0.0000067
GRB 781023,43804.72431,,,,0.0000067
GRB 781025,43806.99516,,,,0.000004
GRB 781025,43806.99581,,,,0.000004
GRB 781025,43806.99583,,,,0.000004
GRB 781026,43807.33604,,,,0.00017
GRB 781026,43807.33604,,,,0.00017
GRB 781026,43807.33542,,,,0.00017
GRB 781102,43814.52292,,,,0.0000026
GRB 781104A,43816,,,,0.0000055
GRB 781104B,43816.67909,,,,0.000303
GRB 781104B,43816.67908,,,,0.000303
GRB 781104B,43816.67903,,,,0.000303
GRB 781104B,43816.67856,,,,0.000303
GRB 781104B,43816.67778,,,,0.000303
GRB 781107,43819.92292,,,,0.0000015
GRB 781109,43821.63264,,,,0.000002
GRB 781111,43823.72361,,,,0.000003
GRB 781113,43825.44792,,,,0.0000045
GRB 781115A,43827.8794,,,,0.000047
GRB 781115A,43827.87946,,,,0.000047
GRB 781115A,43827.87965,,,,0.000047
GRB 781115A,43827.87847,,,,0.000047
GRB 781115B,43827.92569,,,,0.0000029
GRB 781117,43829.57361,,,,0.000012
GRB 781119,43831.39482,,,,0.000437
GRB 781119,43831.39478,,,,0.000437
GRB 781119,43831.39371,,,,0.000437
GRB 781119,43831.3947,,,,0.000437
GRB 781119,43831.39375,,,,0.000437
GRB 781121A,43833.06546,,,,0.00009
GRB 781121A,43833.06639,,,,0.00009
GRB 781121A,43833.06524,,,,0.00009
GRB 781121A,43833.06458,,,,0.00009
GRB 781121B,43833.25,,,,0.000007
GRB 781123,43835.67083,,,,0.000003
GRB 781124,43836.16241,,,,0.000048
GRB 781124,43836.16352,,,,0.000048
GRB 781124,43836.1625,,,,0.000048
GRB 781124,43836.16111,,,,0.000048
GRB 781207,43849.92431,,,,0.0000015
GRB 781217,43859.84925,,,,
GRB 781217,43859.85097,,,,
GRB 781229,43871.50278,,,,0.000002
GRB 790101,43874.00521,,,,0.000052
GRB 790101,43874.00486,,,,0.000052
GRB 790102A,43875.74653,,,,0.0000065
GRB 790102B,43875.94097,,,,0.0000017
GRB 790103,43876,,,,0.00000023
GRB 790107A,43880.22917,,,,0.0000014
GRB 790107B,43880.23328,,,,
GRB 790107B,43880.23328,,,,
GRB 790113,43886.31456,,,,0.000131
GRB 790113,43886.31668,,,,0.000131
GRB 790113,43886.31479,,,,0.000131
GRB 790113,43886.31389,,,,0.000131
GRB 790116,43889.37361,,,,0.000023
GRB 790119A,43892.59861,,,,0.00002
GRB 790131,43904.43403,,,,0.0000046
GRB 790208,43912.42014,,,,0.0000023
GRB 790211,43915.48573,,,,0.0000004
GRB 790211,43915.4875,,,,0.0000004
GRB 790213,43917.54028,,,,0.0000044
GRB 790214,43918.5,,,,0.0000048
GRB 790215,43919.71736,,,,0.000033
GRB 790224,43928.90903,,,,0.0000015
GRB 790305A,43937.33826,,,,
GRB 790305B,43937.66087,,,,0.0013
GRB 790305B,43937.66093,,,,0.0013
GRB 790305B,43937.66117,,,,0.0013
GRB 790305B,43937.66109,,,,0.0013
GRB 790305B,43937.65972,,,,0.0013
GRB 790306,43938.26181,,,,0.0000065
GRB 790307,43939.92753,,,,0.000322
GRB 790307,43939.92973,,,,0.000322
GRB 790307,43939.92878,,,,0.000322
GRB 790307,43939.92639,,,,0.000322
GRB 790313,43945.72669,,,,0.000081
GRB 790313,43945.72497,,,,0.000081
GRB 790313,43945.72681,,,,0.000081
