name,ra,dec,time,fluence
GRB 960723B,,,50287.29706,
GRB 960801A,,,50296.47858,
GRB 960805B,,,50300.91385,
GRB 960811,,,50306.08816,
GRB 960813,,,50308.45537,
GRB 960818,,,50313.983,
GRB 960824,,,50319.07181,
GRB 960825,,,50320.01601,
GRB 960916A,,,50342.16051,
GRB 960916B,,,50342.16412,
GRB 960922A,,,50348.21258,
GRB 960922B,,,50348.22299,
GRB 961101,,,50388.67203,
GRB 961116,,,50403.85635,
GRB 961122,,,50409.91046,
GRB 961202,,,50419.98709,
GRB 961223,,,50440.43714,
GRB 970117A,,,50465.60271,
GRB 970124,,,50472.51328,
GRB 970315B,,,50522.92314,
GRB 970404,,,50542.50009,
GRB 970405B,,,50543.20488,
GRB 970417A,,,50555.01603,
GRB 970501,,,50569.89648,
GRB 970515,,,50583.03867,
GRB 970527,,,50595.17653,
GRB 970531,,,50599.74368,
GRB 970601,,,50600.80502,
GRB 970604,,,50603.82576,
GRB 970608,,,50607.56751,
GRB 970617B,,,50616.88966,
GRB 970619,,,50618.64918,
GRB 970624A,,,50623.23964,
GRB 970624B,,,50623.2709,
GRB 970625A,,,50624.2741,
GRB 970625B,,,50624.5091,
GRB 970626,,,50625.07225,
GRB 970627B,,,50626.92141,
GRB 970628A,,,50627.14433,
GRB 970703,,,50632.91613,
GRB 970705,,,50634.21693,
GRB 970706,,,50635.90274,
GRB 970715,,,50644.59804,
GRB 970716,,,50645.69995,
GRB 970718,,,50647.67927,
GRB 970819,,,50679.18126,
GRB 970824B,,,50684.77412,
GRB 970922A,,,50713.03353,
GRB 971023A,,,50744.23853,
GRB 971027C,,,50748.55711,
GRB 971123,,,50775.27446,
GRB 971214A,,,50796.11007,
GRB 971216,,,50798.63456,
GRB 971219B,,,50801.92563,
GRB 971230,,,50812.96929,
GRB 980102,,,50815.81377,
GRB 980112A,,,50825.05821,
GRB 980203A,,,50847.59799,
GRB 980306A,,,50878.1955,
GRB 980308,,,50880.60056,
GRB 980310B,,,50882.66027,
GRB 980315C,,,50887.94624,
GRB 980324B,,,50896.57421,
GRB 980325,,,50897.66488,
GRB 980406A,,,50909.67561,
GRB 980413,,,50916.28427,
GRB 980428,,,50931.84037,
GRB 980518B,,,50951.93274,
GRB 980519A,,,50952.15523,
GRB 980520A,,,50953.07419,
GRB 980523,,,50956.09968,
GRB 980531,,,50964.32132,
GRB 980603,,,50967.21183,
GRB 980610,,,50974.8281,
GRB 980619,,,50983.55014,
GRB 980623,,,50987.00354,
GRB 980624,,,50988.67214,
GRB 980625,,,50989.57477,
GRB 980626A,,,50990.59826,
GRB 980709B,,,51003.23619,
GRB 980712C,,,51006.64,
GRB 980722,,,51016.20259,
GRB 980726,,,51020.69778,
GRB 980827A,,,51052.14826,
GRB 980827B,,,51052.46486,
GRB 980827C,,,51052.84057,
GRB 980829B,,,51054.39104,
GRB 980912,,,51068.63587,
GRB 980914,,,51070.90704,
GRB 981009,,,51095.23995,
GRB 981113,,,51130.52703,
GRB 981122,,,51139.63115,
GRB 981203C,,,51150.97495,
GRB 981215A,,,51162.53034,
GRB 981219A,,,51166.75341,
GRB 981222A,,,51169.73756,
GRB 981222B,,,51169.96348,
GRB 981230,,,51177.29894,
GRB 990103,,,51181.20771,
GRB 990117A,,,51195.93215,
GRB 990118A,,,51196.13382,
GRB 990218,,,51227.61653,
GRB 990301,,,51238.25354,
GRB 990311A,,,51248.78958,
GRB 990318B,,,51255.40262,
GRB 990412,,,51280.07539,
GRB 990502,,,51300.3859,
GRB 990504B,,,51302.78225,
GRB 990513A,,,51311.7961,
GRB 990527,,,51325.76559,
GRB 990605,,,51334.91571,
GRB 990610,,,51339.0438,
GRB 990704B,,,51363.82777,
GRB 990720C,,,51379.6547,
GRB 990731,,,51390.54113,
GRB 990806A,,,51396.01821,
GRB 990810,,,51400.82262,
GRB 990811,,,51401.75652,
GRB 990821A,,,51411.25519,
GRB 990824A,,,51414.39145,
GRB 990824B,,,51414.55127,
GRB 990913B,,,51434.78434,
GRB 990915A,,,51436.44372,
GRB 990924,,,51445.8703,
GRB 991007,,,51458.27376,
GRB 991013A,,,51464.32892,
GRB 991026A,,,51477.18979,
GRB 991122A,,,51504.00447,
GRB 991124B,,,51506.39664,
GRB 991209A,,,51521.64405,
GRB 991216A,,,51528.03358,
GRB 991221,,,51533.44208,
GRB 991226A,,,51538.62506,
GRB 000107A,,,51550.76846,
GRB 000119A,,,51562.46729,
GRB 000209,,,51583.33669,
GRB 000218A,,,51592.66748,
GRB 000218B,,,51592.67992,
GRB 000223,,,51597.96784,
GRB 000317,,,51620.33573,
GRB 000328,,,51631.06608,
GRB 000410,,,51644.30541,
GRB 000411,,,51645.09308,
GRB 000503,,,51667.95122,
GRB 000517B,,,51681.41809,
GRB 000523,,,51687.79277,
GRB 000612,,,51707.95464,
GRB 000614,,,51709.35696,
GRB 000701A,,,51726.01338,
GRB 000701B,,,51726.30046,
GRB 000713,,,51738.22823,
GRB 000718A,,,51743.52074,
GRB 000721,,,51746.85891,
GRB 000805,,,51761.50444,
GRB 000808,,,51764.77571,
GRB 000818,,,51774.83965,
GRB 000823,,,51779.30731,
GRB 000827,,,51783.16036,
GRB 000830A,,,51786.21475,
GRB 000903B,,,51790.56185,
GRB 000917A,,,51804.38199,
GRB 000917B,,,51804.72487,
GRB 001009,,,51826.6056,
GRB 001011B,,,51828.54123,
GRB 001012,,,51829.59414,
GRB 001015A,,,51832.10708,
GRB 001015B,,,51832.73,
GRB 001020,,,51837.72071,
GRB 001105,,,51853.40904,
GRB 001107,,,51855.09524,
GRB 001117,,,51865.76333,
GRB 001121,,,51869.87321,
GRB 001123,,,51871.5811,
GRB 001201B,,,51879.69352,
GRB 001206B,,,51884.60553,
GRB 001213,,,51891.96325,
GRB 001214B,,,51892.87714,
GRB 001219B,,,51897.71532,
GRB 001228,,,51906.50225,
GRB 010104A,,,51913.00061,
GRB 010126A,,,51935.14096,
GRB 010127,,,51936.35368,
GRB 010208A,,,51948.04264,
GRB 010209B,,,51949.31172,
GRB 010212A,,,51952.21517,
GRB 010217,,,51957.10257,
GRB 010313,,,51981.96888,
GRB 010327,,,51995.24917,
GRB 010405,,,52004.81274,
GRB 010407B,,,52006.46601,
GRB 010408A,,,52007.02481,
GRB 010408B,,,52007.2815,
GRB 010410,,,52009.41836,
GRB 010415A,,,52014.0024,
GRB 010427D,,,52026.78073,
GRB 010428,,,52027.56226,
GRB 010429,,,52028.93244,
GRB 010507A,,,52036.10031,
GRB 010515B,,,52044.75315,
GRB 010517,,,52046.99413,
GRB 010521,,,52050.27836,
GRB 010607,,,52067.37394,
GRB 010610,,,52070.48559,
GRB 010611B,,,52071.92091,
GRB 010618A,,,52078.53645,
GRB 010619B,,,52079.63682,
GRB 010625,,,52085.05271,
GRB 010703,,,52093.85473,
GRB 010710A,,,52100.61699,
GRB 010711,,,52101.11377,
GRB 010714,,,52104.55451,
GRB 010715,,,52105.84978,
GRB 010718,,,52108.34473,
GRB 010727B,,,52117.08299,
GRB 010801,,,52122.77122,
GRB 010804,,,52125.84257,
GRB 010806,,,52127.82488,
GRB 010813,,,52134.40551,
GRB 010827,,,52148.53902,
GRB 010922,,,52174.73394,
GRB 010929,,,52181.04177,
GRB 011003,,,52185.1487,
GRB 011111,,,52224.7667,
GRB 011115,,,52228.84464,
GRB 011122,,,52235.86913,
GRB 011128,,,52241.72108,
GRB 011214,,,52257.82527,
GRB 011228,,,52271.9717,
GRB 011229,,,52272.16001,
GRB 020112,,,52286.78611,
GRB 020113B,,,52287.46023,
GRB 020115,,,52289.93708,
GRB 020119A,,,52293.00691,
GRB 020208,,,52313.59319,
GRB 020212A,,,52317.94808,
GRB 020304,,,52337.04336,
GRB 020306,,,52339.79031,
GRB 020315,,,52348.6547,
GRB 020317,,,52350.06272,
GRB 020323,,,52356.84642,
GRB 020329,,,52362.85959,
GRB 020402,,,52366.32957,
GRB 020419A,,,52383.76714,
GRB 020419B,,,52383.93459,
GRB 020422,,,52386.31372,
GRB 010414,218,-88,52013.99132,0.00000129
GRB 020321,242.76,-83.7,52354.18105,0.00000298
GRB 990411,329.84,-83.44,51279.1844,0.00000342
GRB 010624,38,-83,52084.56632,0.00000064
GRB 000915,244,-81,51802.16549,0.00000052
GRB 020414,240,-81,52378.07458,0.00000035
GRB 990510,204.53,-80.5,51308.36747,0.00001641
GRB 020401,339,-80,52365.70524,
GRB 980518A,306.1,-79,50951.78111,0.00000026
GRB 001022B,275,-79,51839.21867,0.00000123
GRB 000108,236.35,-78.82,51551.70008,0.00000117
GRB 990627B,27.1,-77.08,51356.20895,0.00000198
GRB 011121,173.63,-76.03,52234.78273,0.0000983
GRB 990627A,359,-76,51356.16696,0.00000307
