name,ra,dec,time_x,fluence,redshift
GRB 041217,164.79,-17.944,2004-12-17T07:28:25.920000,0.0000027,
GRB 041218,24.78167,71.34167,2004-12-18T15:45:25,,
GRB 041219A,6.115,62.84247,2004-12-19T01:42:18.000000,,0.3
GRB 041219B,167.674,-33.458,2004-12-19T15:38:48.000000,,
GRB 041219C,343.882,-76.786,2004-12-19T20:30:34.000000,0.00000114,
GRB 041220,291.301,60.596,2004-12-20T22:58:26.599560,0.000000366,
GRB 041223,100.19721,-37.07309,2004-12-23T14:06:17.956380,0.000017,
GRB 041224,56.192,-6.666,2004-12-24T20:20:57.698840,0.00000853,
GRB 041226,79.647,73.343,2004-12-26T20:34:18.976400,0.00000031,
GRB 041228,336.649,5.027,2004-12-28T10:49:14.142460,0.00000345,
GRB 050117,358.46874,65.93879,2005-01-17T12:52:36.037100,0.00000867,
GRB 050124,192.87792,13.045,2005-01-24T11:30:02.876080,0.00000118,
GRB 050126,278.11321,42.37044,2005-01-26T12:00:54.073440,0.00000088,1.29
GRB 050128,219.57358,-34.76519,2005-01-28T04:19:55.191240,0.00000511,
GRB 050202,290.583,-38.733,2005-02-02T03:35:14.800740,3.16E-08,
GRB 050209,126.5375,19.68389,2005-02-09T01:31:41,,
GRB 050215A,348.411,49.322,2005-02-15T02:15:28.543100,0.000000639,
GRB 050215B,174.44958,40.796,2005-02-15T02:33:43.199080,0.000000235,
GRB 050219A,166.41242,-40.68419,2005-02-19T12:40:01.049120,0.00000408,
GRB 050219B,81.31662,-57.75797,2005-02-19T21:05:51.256640,0.0000158,
GRB 050223,271.38538,-62.47252,2005-02-23T03:09:06.068200,0.000000646,0.584
GRB 050306,282.31033,-9.15278,2005-03-06T03:33:11.876760,0.0000114,
GRB 050315,306.47542,-42.60061,2005-03-15T20:59:42.518900,0.00000317,1.95
GRB 050318,49.7125,-46.39556,2005-03-18T15:44:37.170860,,1.4436
GRB 050319,154.19958,43.54847,2005-03-19T09:31:18.449780,0.00000133,3.2425
GRB 050326,6.95458,-71.37119,2005-03-26T09:53:56.135600,0.00000884,
GRB 050401,247.87004,2.18728,2005-04-01T14:20:15.326620,0.00000831,2.8983
GRB 050406,34.46792,-50.1875,2005-04-06T15:58:48.407200,0.000000067,2.44
GRB 050408,180.57212,10.85261,2005-04-08T16:22:50.93,,1.2357
GRB 050410,89.80879,79.60344,2005-04-10T12:14:33.553380,0.00000435,
GRB 050412,181.10533,-1.20017,2005-04-12T05:44:02.894760,0.000000629,
GRB 050416A,188.4775,21.05742,2005-04-16T11:04:44.488360,0.000000407,0.6528
GRB 050416B,133.847,11.186,2005-04-16T22:35:54.119620,0.00000111,
GRB 050418,44.339,-18.542,2005-04-18T11:00:34.629320,0.00000511,
GRB 050421,307.26146,73.65492,2005-04-21T04:11:51.617220,0.000000143,
GRB 050422,324.47796,55.77917,2005-04-22T07:52:39.807480,0.000000596,
GRB 050502A,202.44292,42.67436,2005-05-02T02:13:57,,3.793
GRB 050502B,142.54177,16.99669,2005-05-02T09:25:40.464300,0.000000471,5.2
GRB 050504,201.00517,40.70419,2005-05-04T08:00:52.5,,
GRB 050505,141.76375,30.27325,2005-05-05T23:22:21.098760,0.00000251,4.275
GRB 050507,48.064,-11.051,2005-05-07T22:43:18.311680,,
GRB 050509A,310.58358,54.07125,2005-05-09T01:46:28.517900,0.000000336,
GRB 050509B,189.05771,28.98436,2005-05-09T04:00:19.237760,7.11E-09,0.2249
GRB 050509C,193.22475,-44.83447,2005-05-09T22:45:54,,
GRB 050520,192.52492,30.45122,2005-05-20T00:05:53,,
GRB 050522,200.14429,24.789,2005-05-22T06:00:21,,
GRB 050525A,278.13583,26.33986,2005-05-25T00:02:53.517080,0.0000151,0.606
GRB 050528,353.528,45.958,2005-05-28T04:06:45.128040,0.000000447,
GRB 050603,39.98705,-25.18183,2005-06-03T06:29:05.214200,0.00000703,2.821
GRB 050607,300.17829,9.14208,2005-06-07T09:11:22.807560,0.000000612,
GRB 050626,186.7445,-63.1342,2005-06-26T03:45:16,,
GRB 050701,227.257,-59.41458,2005-07-01T11:42:59.472220,0.00000136,
GRB 050709,345.36233,-38.97764,2005-07-09T22:36:37,,0.16
GRB 050712,77.70042,64.91322,2005-07-12T14:00:27.517820,0.00000109,
GRB 050713A,320.53971,77.07486,2005-07-13T04:29:02.396820,0.00000505,3.6
GRB 050713B,307.81458,60.944,2005-07-13T12:07:17.628280,0.00000432,
GRB 050714A,43.59579,69.11272,2005-07-14T00:05:56,,
GRB 050714B,169.69879,-15.54694,2005-07-14T22:40:32.377900,0.000000527,3.5
GRB 050715,155.656,-0.033,2005-07-15T22:30:26.424240,0.00000138,
GRB 050716,338.58638,38.68433,2005-07-16T12:36:03.639280,0.00000615,
GRB 050717,214.352,-50.53353,2005-07-17T10:30:52.293760,0.00000634,
GRB 050721,253.43554,-28.38106,2005-07-21T04:29:14.287540,0.00000361,
GRB 050724,246.18492,-27.54097,2005-07-24T12:34:09.361840,0.00000101,0.258
GRB 050726,200.04958,-32.06442,2005-07-26T05:00:17.830940,0.00000197,
GRB 050730,212.07142,-3.77161,2005-07-30T19:58:23.199020,0.00000237,3.9693
GRB 050801,204.1475,-21.92833,2005-08-01T18:28:02.075720,0.000000308,1.38
GRB 050802,219.27371,27.78672,2005-08-02T10:08:02.266620,0.00000221,1.7102
GRB 050803,350.65771,5.78569,2005-08-03T19:14:00.344280,0.00000217,
GRB 050813,241.98737,11.24919,2005-08-13T06:45:09.768120,3.65E-08,0.722
GRB 050814,264.18912,46.33933,2005-08-14T11:38:56.966000,0.00000195,5.3
GRB 050815,293.59645,9.14652,2005-08-15T17:25:18.723840,7.88E-08,
GRB 050819,358.75675,24.86083,2005-08-19T16:23:55.132880,0.000000306,2.5043
GRB 050820A,337.40879,19.56031,2005-08-20T06:34:53.115840,,2.6147
GRB 050820B,135.60429,-72.64556,2005-08-20T23:50:27.194600,0.00000205,
GRB 050822,51.11325,-46.03333,2005-08-22T03:49:29.144560,0.00000248,1.434
GRB 050824,12.23375,22.60889,2005-08-24T23:12:16.307660,0.000000273,0.8281
GRB 050826,87.75658,-2.64328,2005-08-26T06:18:10.289400,0.00000042,0.297
GRB 050827,64.29004,18.20039,2005-08-27T18:57:15.118740,0.00000209,
GRB 050904,13.71164,14.08595,2005-09-04T01:51:44.290000,0.0000052,6.295
GRB 050906,52.806,-14.621,2005-09-06T10:32:04.793880,6.07E-09,
GRB 050908,20.46146,-12.95478,2005-09-08T05:42:31.386740,0.000000483,3.3467
GRB 050911,13.714,-38.86,2005-09-11T15:59:33.844660,0.000000319,
GRB 050915A,81.68668,-28.01646,2005-09-15T11:22:42.317800,0.000000845,2.5273
GRB 050915B,219.10825,-67.40933,2005-09-15T21:23:04.269060,0.00000341,
GRB 050916,135.98812,-51.42881,2005-09-16T16:35:52.267640,0.00000111,
GRB 050918,267.6195,-25.4114,2005-09-18T15:36:39,,
GRB 050922A,271.1541,-32.0235,2005-09-22T13:43:18,,
GRB 050922B,5.80571,-5.60464,2005-09-22T15:02:00.257060,0.00000236,
GRB 050922C,317.38875,-8.75764,2005-09-22T19:55:50.400700,0.00000162,2.1995
GRB 050925,303.487,34.33,2005-09-25T09:04:33.628160,7.66E-08,
GRB 051001,350.953,-31.52317,2005-10-01T11:11:36.241320,0.00000176,2.4296
GRB 051006,110.80892,9.50556,2005-10-06T20:30:33.255560,0.00000124,1.059
GRB 051008,202.87342,42.09817,2005-10-08T16:33:21.316200,,5.2
GRB 051012,270.535,-52.783,2005-10-12T17:05:56.957000,0.000000206,
GRB 051016A,122.81925,-18.298,2005-10-16T05:23:31.350440,0.000000838,
GRB 051016B,132.11588,13.65556,2005-10-16T18:28:08.981460,0.00000017,0.9364
GRB 051021A,29.15163,9.06769,2005-10-21T13:21:57,,
GRB 051021B,126.05096,-45.54111,2005-10-21T23:31:53.676000,0.000000822,
GRB 051022,359.01708,19.60672,2005-10-22T13:07:58,,0.8
GRB 051028,27.06254,47.75256,2005-10-28T13:36:01.47,,
GRB 051105A,265.3,34.945,2005-11-05T06:26:41.537840,1.67E-08,
GRB 051105B,9.4771,-40.4812,2005-11-05T11:05:50,,
GRB 051109A,330.3138,40.82314,2005-11-09T01:12:20.522800,0.00000217,2.346
GRB 051109B,345.45983,38.67964,2005-11-09T08:39:39.370220,0.000000226,0.08
GRB 051111,348.13833,18.37475,2005-11-11T05:59:41.478720,0.00000427,1.5495
GRB 051113,187.244,-26.392,2005-11-13T15:22:34.722320,0.00000258,
GRB 051114,226.273,60.157,2005-11-14T04:11:29.441000,0.000000124,
GRB 051117A,228.39204,30.87019,2005-11-17T10:51:20.091280,0.00000436,
GRB 051117B,85.18075,-19.27422,2005-11-17T13:22:54.427080,0.000000175,0.481
GRB 051210,330.17125,-57.61358,2005-12-10T05:46:21.168500,0.000000086,
GRB 051211A,104.05417,32.67889,2005-12-11T02:50:05.4,,
GRB 051211B,345.67321,55.08097,2005-12-11T22:05:44,,
GRB 051213,252.093,-59.231,2005-12-13T07:13:04.106720,0.000000797,
GRB 051221A,328.70267,16.89096,2005-12-21T01:51:15.868000,0.00000116,0.5465
GRB 051221B,312.39729,53.03642,2005-12-21T20:03:20.090560,0.000000912,
GRB 051227,125.24212,31.92553,2005-12-27T18:07:16.047360,0.000000715,0.714
GRB 060102,328.841,-1.836,2006-01-02T21:17:27.963420,0.000000234,
GRB 060105,297.50283,46.34889,2006-01-05T06:49:27.446760,0.0000182,4
GRB 060108,147.00825,31.91906,2006-01-08T14:39:11.760360,0.000000372,2.03
GRB 060109,282.68187,31.99092,2006-01-09T16:54:41.230260,0.000000662,
GRB 060110,72.74104,28.43214,2006-01-10T08:01:17.773060,0.00000151,
GRB 060111A,276.20472,37.60402,2006-01-11T04:23:06.123420,0.0000012,
GRB 060111B,286.42696,70.37586,2006-01-11T20:15:43.242160,0.00000162,
GRB 060114,195.2766,-4.748,2006-01-14T12:39:44,,
GRB 060115,54.035,17.34528,2006-01-15T13:08:00.643040,0.00000171,3.5328
GRB 060116,84.69283,-5.43698,2006-01-16T08:37:27.233480,0.00000239,6.6
GRB 060117,327.90054,-59.97753,2006-01-17T06:50:01.599700,0.0000205,0.45
GRB 060121,137.46638,45.66261,2006-01-21T22:24:54.5,,
GRB 060123,179.69979,45.51378,2006-01-23T22:22:40,,1.099
GRB 060124,77.10625,69.74056,2006-01-24T15:54:51.825540,0.0000142,2.297
GRB 060130,229.224,-36.912,2006-01-30T04:56:25,,
GRB 060202,35.84575,38.38431,2006-02-02T08:40:55.008460,0.00000223,0.783
GRB 060203,103.51604,71.81067,2006-02-03T23:55:35.005260,0.000000912,
GRB 060204A,232.2335,-39.4438,2006-02-04T13:19:50,,
GRB 060204B,211.81208,27.67678,2006-02-04T14:34:24.092080,0.00000293,3.1
GRB 060206,202.9309,35.051,2006-02-06T04:46:53.272980,0.000000843,4.048
GRB 060210,57.73904,27.02622,2006-02-10T04:58:49.809180,0.00000763,3.9133
GRB 060211A,58.38604,21.48861,2006-02-11T09:39:10.990840,0.00000158,
GRB 060211B,75.0715,14.94939,2006-02-11T15:55:14.766340,0.000000442,
GRB 060213,141.6,-9.15,2006-02-13T13:11:09,,3.5
GRB 060218,50.41535,16.86717,2006-02-18T03:34:30.977720,0.00000645,0.0334
GRB 060219,241.83967,32.31611,2006-02-19T22:48:05.118160,0.00000044,
GRB 060223A,55.2065,-17.1301,2006-02-23T06:04:23.927580,0.000000674,4.406
GRB 060223B,254.242,-30.813,2006-02-23T19:41:04.886460,0.0000016,
GRB 060306,41.09533,-2.14853,2006-03-06T00:49:10.626240,0.00000215,
GRB 060312,45.77488,12.83375,2006-03-12T01:36:12.758340,0.00000184,
